LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID14656,14656,16,14.115638732910156,363.18503860870413,729.266803626634,0.0,0.0,0,37.5,1,,55658.11600193647,56301.0,46942.0,63123.0,1.494587389E9,2673.9826906367075,0.4863363351334762,13.621330441676031
ID14657,14657,17,15.514291763305664,744.1806810519498,748.2575977387685,0.0,0.0,0,37.5,1,,55899.25486910215,57266.0,41842.0,62110.0,1.501062691E9,3903.105694905914,0.547455843432636,10.13343142518617
ID14658,14658,18,15.12474536895752,630.911670800182,765.5048815323485,0.0,0.0,0,37.5,1,,52236.47506796261,53419.0,36392.0,59288.0,1.402706065E9,4250.533812816722,0.5854864404862763,9.076422268066386
ID14637,14637,19,9.935593605041504,308.34375,0.0,0.0,0.0,0,37.5,1,,25407.68960637545,41923.0,0.0,65535.0,6.82272689E8,23805.430381047052,0.3822438734893847,0.5903030035953467
ID14638,14638,20,6.674961090087891,786.09375,0.0,0.0,0.0,0,37.5,1,,7431.869586265967,2111.0,0.0,65535.0,1.99567994E8,12427.369311093451,0.8320567154863685,0.5432039096382882
ID14639,14639,21,10.628561019897461,231.7167575822811,77.46698093314083,0.0,0.0,0,37.5,1,,51032.609801511935,52101.0,34859.0,65535.0,1.370378671E9,3815.982491267393,0.3556304015033378,7.016636547490489
ID14640,14640,0,12.98511791229248,646.9277201429173,89.478933615503,0.0,0.0,0,37.5,1,,51997.37157859457,52337.0,43820.0,57277.0,1.396285419E9,2047.3162069435157,0.4708147369148569,16.259924989533186
ID14641,14641,1,12.508129119873047,345.9416795511609,108.81139159620669,0.0,0.0,0,37.5,1,,52496.97642721484,53084.0,39284.0,65535.0,1.409701308E9,4252.794558748241,0.44551549748622926,7.6090413915198924
ID14642,14642,2,11.104523658752441,135.56901395589227,145.23301211948757,0.0,0.0,0,37.5,1,,58425.99109969091,59432.0,15914.0,65535.0,1.568913139E9,5270.919652769833,0.30873329934466753,5.22976301233628
ID14643,14643,3,10.743391990661621,31.64741731556909,159.48808459634773,0.0,0.0,0,37.5,1,,46696.52724090418,47937.0,0.0,61989.0,1.253941846E9,7108.9678850630835,0.6543405780764433,5.196213156810288
ID14644,14644,4,9.895794868469238,264.4262585394115,203.38785904801674,0.0,0.0,0,37.5,1,,53807.58064275872,54480.0,37322.0,62460.0,1.444894963E9,3284.28482725751,0.2984394864265642,7.5312526435745974
ID14645,14645,5,12.986298561096191,540.2371165714885,266.43457202033085,0.0,0.0,0,37.5,1,,52784.36670018247,52949.0,45750.0,58177.0,1.417418599E9,2261.150835509969,0.453526081596159,14.567506338330414
ID14646,14646,6,11.976449012756348,260.3311764730132,311.8573535231706,0.0,0.0,0,37.5,1,,51247.01508211373,52036.0,28206.0,65535.0,1.376136096E9,4426.614607456453,0.40893606378554975,6.720335953335109
ID14647,14647,7,11.450600624084473,375.1649642154119,315.444302731018,0.0,0.0,0,37.5,1,,53180.50981268387,53964.0,39090.0,65024.0,1.42805623E9,3980.017547238271,0.36311598736446105,7.118853642517744
ID14648,14648,8,1.8539246320724487,0.0,357.09375,0.0,0.0,0,37.5,1,,2720.035228838491,1828.0,0.0,28468.0,7.3041106E7,4352.958870136023,0.519997618343999,0.42754162931114775
ID14649,14649,9,14.060379028320312,509.1052246518386,405.7587573551374,0.0,0.0,0,37.5,1,,51537.18243771646,52363.0,39259.0,62281.0,1.38392796E9,3556.4531936477374,0.5314134470870772,10.057120498661318
ID14650,14650,10,11.08319091796875,403.99745279543146,426.2785096921192,0.0,0.0,0,37.5,1,,55519.118422522624,55699.0,46240.0,65535.0,1.490854887E9,2612.204168705251,0.32763737849351404,10.490094732443298
ID14651,14651,11,14.647396087646484,741.3951504375682,467.87669897228454,0.0,0.0,0,37.5,1,,52850.306632406064,53573.0,42579.0,60792.0,1.419189284E9,2956.221557576867,0.5456552549189538,12.622524858679695
ID14652,14652,12,12.034406661987305,320.2376615756095,498.05906598117906,0.0,0.0,0,37.5,1,,56297.17074442334,57114.0,42761.0,65535.0,1.511747926E9,3050.914206652731,0.3839219332238981,10.238065448412398
ID14653,14653,13,14.354910850524902,192.310205453855,502.29735354563786,0.0,0.0,0,37.5,1,,51833.341675045616,51694.0,44974.0,63098.0,1.391880724E9,2555.7951068044486,0.5467215794938227,14.337295661080795
ID14654,14654,14,12.822047233581543,406.25287231562663,585.1993648952323,0.0,0.0,0,37.5,1,,51111.12374781216,53488.0,17031.0,62550.0,1.372487006E9,6702.596014272768,0.45881610882192364,4.796677150118415
ID14655,14655,15,12.830212593078613,304.31955365905986,623.8476173899579,0.0,0.0,0,37.5,1,,54493.06427587234,55728.0,34421.0,60923.0,1.463302255E9,3991.112207847977,0.4353554885428229,8.2825074933666
ID14464,14464,0,12.992521286010742,646.9066147724898,89.42771176808716,0.0,2.962599,1,37.5,1,,52016.869362827245,52360.0,43539.0,56593.0,1.396808993E9,2046.2098324220099,0.4709385589330825,16.277726868390683
ID14465,14465,1,12.514782905578613,345.9159103302482,108.83844800000372,0.0,2.962599,1,37.5,1,,52593.96153130004,53137.0,39338.0,65535.0,1.412305649E9,4199.465127840179,0.444474157548887,7.7074131523365175
