LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID57600,57600,31,186.8371124267578,95.6726471643551,96.07384052157282,0.0,0.0,0,3.5,1,,27163.871600253005,24807.0,9414.0,51581.0,4.2946081E7,10870.806911840342,0.5612369723801679,1.7965418086979443
ID57601,57601,32,214.7301025390625,196.80075016587472,104.49821248092739,0.0,0.0,0,3.5,1,,41209.23592662872,41115.0,19186.0,64148.0,6.5151802E7,11381.672294120895,0.3936558606006952,2.0454066181174175
ID57602,57602,34,97.54226684570312,58.641372962764734,109.09173391541653,0.0,0.0,0,3.5,1,,13383.324478178369,11981.0,3488.0,30063.0,2.1159036E7,6402.0374810839885,0.5891984033719023,1.5500982716779594
ID57603,57603,33,65.2044677734375,209.10458357005325,109.3277756173071,0.0,0.0,0,3.5,1,,17724.24604680582,17884.0,4768.0,30398.0,2.8022033E7,6415.020768600409,0.20853200395198493,0.953485867101978
ID57604,57604,35,258.0289306640625,201.06556347460278,115.60582881166796,0.0,0.0,0,3.5,1,,48013.31941808981,47292.0,23909.0,65535.0,7.5909058E7,12414.590097121736,0.4328496570611921,2.3366614668419667
ID57605,57605,,63.35698318481445,63.43063943577313,116.15914734089249,0.0,0.0,0,3.5,1,,9506.381404174574,8172.0,2772.0,21928.0,1.5029589E7,4669.396576024103,0.47503408780347306,1.3113154796522932
ID57606,57606,36,314.3362121582031,291.724060969181,126.17991739677127,0.0,0.0,0,3.5,1,,50577.15623023403,51916.0,26674.0,65535.0,7.9962484E7,11967.967037540335,0.6070653352201981,3.1927573931470166
ID57607,57607,37,111.48001098632812,167.0343862219898,127.58211060484791,0.0,0.0,0,3.5,1,,15628.313725490196,14289.0,4615.0,31891.0,2.4708364E7,6760.688996626673,0.6031096133975586,1.7393388235704592
ID57608,57608,38,157.0939178466797,315.50337585085026,130.69902736069068,0.0,0.0,0,3.5,1,,24690.8981657179,23535.0,8606.0,44040.0,3.903631E7,9078.266360965388,0.5328194840080056,1.8908324561985614
ID57609,57609,39,230.83348083496094,102.18863467022422,131.22151729279565,0.0,0.0,0,3.5,1,,48985.733712839974,51207.0,17290.0,65535.0,7.7446445E7,12140.770215929839,0.3779742941265757,2.2134744955540633
ID57610,57610,40,201.6028594970703,244.85823099768325,131.9640946356785,0.0,0.0,0,3.5,1,,46079.09234661607,47224.0,19407.0,65535.0,7.2851045E7,11778.029283655933,0.3239572006976093,1.9145864165374824
ID57611,57611,41,256.7714538574219,235.2859390870408,132.74907616581407,0.0,0.0,0,3.5,1,,56171.95888678052,58436.0,30650.0,65535.0,8.8807867E7,9442.78735326283,0.3876881429783601,3.3238391321549092
ID57612,57612,42,267.68292236328125,91.88782917107919,135.67562184134982,0.0,0.0,0,3.5,1,,52919.720430107525,53866.0,27390.0,65535.0,8.3666078E7,10577.682059753712,0.4374804181156385,3.045185190688173
ID57613,57613,43,261.1949462890625,58.51603238921542,149.46417367702242,0.0,0.0,0,3.5,1,,54931.15117014548,58824.0,26780.0,65535.0,8.684615E7,11243.616136540237,0.4019368156565613,2.801380058161237
ID57614,57614,44,206.75279235839844,57.43283769086408,157.05940137295133,0.0,0.0,0,3.5,1,,47621.61353573688,48374.0,19521.0,65535.0,7.5289771E7,12186.408284914252,0.2992259015779798,1.800001602102279
ID57615,57615,102,93.88697052001953,65.06624545699698,157.0690373065082,0.0,0.0,0,3.5,1,,26859.729917773562,27740.0,7959.0,45396.0,4.2465233E7,9017.828936621825,0.19019578280884325,0.9519455770643858
ID57616,57616,46,96.3609390258789,171.93303698547606,167.4459427160706,0.0,0.0,0,3.5,1,,12754.991144845035,11448.0,2856.0,31792.0,2.0165641E7,6346.302402958357,0.6250683663994204,1.5461274075018443
ID57617,57617,45,289.5102233886719,95.29285485271834,168.9621128892718,0.0,0.0,0,3.5,1,,59651.487666034154,65535.0,36324.0,65535.0,9.4309002E7,8039.643064334627,0.47281532879563476,4.763846502005855
ID57618,57618,48,71.15331268310547,246.28007301619837,172.01822784095236,0.0,0.0,0,3.5,1,,10408.297912713473,9581.0,3084.0,21776.0,1.6455519E7,4343.492624917288,0.5603883913982978,1.721182972860484
ID57619,57619,49,236.4000244140625,22.255389321295507,172.45502544318003,0.0,0.0,0,3.5,1,,39072.90259329538,38548.0,14822.0,63539.0,6.1774259E7,11693.55616939126,0.5155895406647044,2.2734298783414126
ID57620,57620,50,163.70352172851562,103.24326998338267,175.2182802652315,0.0,0.0,0,3.5,1,,32673.040480708412,32698.0,10709.0,51405.0,5.1656077E7,9874.339591229238,0.38063581923293044,1.8244921766231932
ID57621,57621,51,112.37787628173828,26.297920804999162,179.3172729239949,0.0,0.0,0,3.5,1,,23741.402277039848,22804.0,9406.0,42288.0,3.7535157E7,8292.308582303647,0.29621486886143705,1.3085513295800641
ID57622,57622,52,164.98599243164062,211.38267049423789,186.10904021490325,0.0,0.0,0,3.5,1,,30866.433270082227,30002.0,11585.0,51063.0,4.8799831E7,10050.377265045969,0.38132963613241605,1.6956542736480924
ID57623,57623,53,296.7629089355469,92.12186101365177,188.45189576601283,0.0,0.0,0,3.5,1,,43787.617963314355,41938.0,19788.0,65535.0,6.9228224E7,14578.445095310937,0.6146129701762082,2.2866694757332247
