LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID3840,3840,0,208.7860565185547,18.245938037620988,199.51039466309103,0.0,0.0,0,3.5,1,,35985.787476280835,35538.0,20364.0,51332.0,5.689353E7,8135.876719525157,0.5220739283670173,3.0342607965984536
ID3841,3841,1,233.13075256347656,97.91129017947465,208.3322883140751,0.0,0.0,0,3.5,1,,55748.50221378874,56456.0,33095.0,65535.0,8.8138382E7,8137.794709716904,0.33370502048197875,3.428146903744988
ID3842,3842,2,100.96754455566406,0.0,208.8125,0.0,0.0,0,3.5,1,,11962.302972802025,13067.0,0.0,29699.0,1.8912401E7,9950.699413299812,0.5025408916118318,0.8041485658455214
ID3843,3843,3,173.99362182617188,232.94088229573214,209.1885305810963,0.0,0.0,0,3.5,1,,28996.644528779252,28423.0,16796.0,44111.0,4.5843695E7,6876.7166068758215,0.546683547248276,2.9807884242298868
ID3844,3844,4,157.37106323242188,187.8607355259093,213.64337125888187,0.0,0.0,0,3.5,1,,26715.103099304237,26025.0,13298.0,41455.0,4.2236578E7,6656.257504765238,0.514920441567504,2.728393729043086
ID3845,3845,5,215.06314086914062,112.41975988907093,220.89625114020888,0.0,0.0,0,3.5,1,,43786.83934218849,44549.0,25639.0,58096.0,6.9226993E7,7743.343741366354,0.42270339623000114,3.3602100275984252
ID3846,3846,6,148.18780517578125,163.29990817781635,224.91125779067403,0.0,0.0,0,3.5,1,,33490.12650221379,34106.0,18298.0,44860.0,5.294789E7,6966.117730913617,0.3457636440629976,2.4703956204731794
ID3847,3847,7,200.6297607421875,57.66292589443043,228.083180248201,0.0,0.0,0,3.5,1,,34245.87666034156,33724.0,20368.0,49315.0,5.4142731E7,7483.54820978628,0.5381206171135952,3.201989925329709
ID3848,3848,8,159.7565155029297,160.4210559375977,228.80646210328942,0.0,0.0,0,3.5,1,,34159.85895003162,35045.0,18453.0,47121.0,5.4006737E7,7441.969857110617,0.3685603731813969,2.472309490480851
ID3849,3849,9,186.669189453125,183.06304727721437,231.78272084898205,0.0,0.0,0,3.5,1,,32615.641998734976,31827.0,19025.0,48424.0,5.156533E7,7510.627717254868,0.503123474825915,2.90709761830133
ID3850,3850,10,250.10609436035156,284.46582050899985,235.79811818403988,0.0,0.0,0,3.5,1,,45944.0082226439,45064.0,29540.0,64050.0,7.2637477E7,8806.822827975479,0.4830330360755071,3.398330600646304
ID3851,3851,11,183.19468688964844,311.33131679562126,245.84549295579333,0.0,0.0,0,3.5,1,,43127.81214421253,43760.0,26907.0,56234.0,6.8185071E7,7199.644917105934,0.3324199918868066,2.9889753901665093
ID3852,3852,12,163.30770874023438,318.09184218610557,246.12605387247837,0.0,0.0,0,3.5,1,,39315.703352308665,39882.0,23551.0,53096.0,6.2158127E7,7425.554801156772,0.31568766179111496,2.5408085610841935
ID3853,3853,13,139.181396484375,66.92818562023095,248.43580778175206,0.0,0.0,0,3.5,1,,20760.32953826692,20063.0,9100.0,33990.0,3.2822081E7,6828.772491085545,0.5993560389401628,2.278564494493138
ID3854,3854,14,153.4635467529297,243.00580255028325,248.5179086816511,0.0,0.0,0,3.5,1,,47134.56736242884,48459.0,27120.0,58588.0,7.4519751E7,7341.10936413909,0.2265269840361311,2.3716503530013524
ID3855,3855,15,299.29443359375,198.1813846101195,253.83671653757946,0.0,0.0,0,3.5,1,,55382.933586337764,57378.0,27244.0,65535.0,8.7560418E7,9933.119416211865,0.5100580240233707,3.766571743078098
ID3856,3856,16,121.94863891601562,295.03292026947094,254.51287773279964,0.0,0.0,0,3.5,1,,21334.507273877294,20758.0,12212.0,32953.0,3.3729856E7,5278.1193183474825,0.48623826717789614,2.6448077261891947
ID3857,3857,17,176.47584533691406,238.26225038867952,258.5742378978244,0.0,0.0,0,3.5,1,,44370.529411764706,45090.0,26849.0,57852.0,7.0149807E7,7594.568561252922,0.30220156864905307,2.711689748456172
ID3858,3858,18,157.36163330078125,255.15728459012774,261.11417007206984,0.0,0.0,0,3.5,1,,34979.220113851996,35790.0,21122.0,48384.0,5.5302147E7,6786.799894909569,0.3549683295497629,2.7004462413917443
ID3859,3859,19,177.8058319091797,219.9877872309634,263.85245494634404,0.0,0.0,0,3.5,1,,31051.697659709043,30564.0,17571.0,45135.0,4.9092734E7,7215.884317652802,0.5018679648383183,2.875964383753687
ID3860,3860,20,136.8309783935547,149.79443634076878,267.17510360752345,0.0,0.0,0,3.5,1,,35461.90955091714,35905.0,17611.0,53655.0,5.6065279E7,8476.95573909486,0.2755710179076555,1.8075116084096825
ID3861,3861,21,99.44609069824219,14.90458783390177,267.815128357834,0.0,0.0,0,3.5,1,,25760.75015812777,27350.0,12451.0,35817.0,4.0727746E7,6079.392828938776,0.2595478933409347,1.7463493092822702
ID3862,3862,22,156.59603881835938,24.21644902566804,269.133908040695,0.0,0.0,0,3.5,1,,36259.357368753954,36885.0,23325.0,46442.0,5.7326044E7,5285.4764195577,0.35489265016448185,3.593834529815862
ID3863,3863,23,175.3047332763672,140.57716272981156,269.45084092373816,0.0,0.0,0,3.5,1,,41544.08918406072,43020.0,22718.0,55064.0,6.5681205E7,8298.783420311136,0.3166801616375036,2.4080492932127107
